,Sequencher,123
0,Access,114
1,ENE,20
2,Spectra,10
3,JAM,6
4,Ensembl genome browser,5
5,Empower R,4
6,CSSA,4
7,Capt,4
8,Adobe Premiere Pro,3
9,SitRep,3
10,Quilmes,2
11,NHS Digital Data Science Server,2
12,DHC,2
13,CARRA,2
14,VSA,2
15,RoIAlign,2
16,COVIDScholar,2
17,EVOLIS,1
18,CovidGC,1
19,QuickLook,1
20,Blutooth,1
21,TekStack,1
22,PSR,1
23,Nano Analyzer,1
24,TmHMM,1
25,NoEMi,1
26,Clubhouse,1
27,Kontaminant,1
28,SQID,1
29,Quantile plot,1
30,Grommet,1
31,Trailblazer,1
32,TFmodisco,1
33,"R package "" KernSmooth """,1
34,ProtoArray Prospector,1
35,EPI Tools,1
36,crawler4j,1
37,Biggert,1
38,MathI,1
39,xEMU,1
40,GraphScan,1
41,MADDVIPR,1
42,lmer R package,1
43,netCTLpan1,1
44,dGL Logic,1
45,GROWSEQUENCE,1
46,xPONENT3,1
47,LDMAP,1
48,PhoX,1
49,bs4,1
50,Altera,1
51,MeVis Pulmo3D,1
52,Trich,1
53,MonoLEX,1
54,ENSEMBL browser,1
55,Curio SmartChat,1
56,dsicuss,1
57,MedidataRave,1
58,Mac3âˆ’DPUP,1
59,Rerank,1
60,Unity Engine,1
61,smartrcts,1
62,GSP5,1
63,polycor R package,1
64,InSync,1
65,VisBubbles,1
66,Cytargetlinker,1
67,io API,1
68,ChEMU,1
69,CAM06,1
70,AAD,1
71,Inspect,1
72,comPARE,1
73,eArrayXD,1
74,GoArray,1
75,fixbb,1
76,AfCFTA,1
77,DataMart,1
78,ComBat (SVA,1
79,NOEnet,1
80,openQA,1
81,GeneRuner,1
82,PNEU,1
83,Anvirzel,1
84,PDBQT,1
85,ParaoFuturoAgora,1
86,MANCHE,1
87,EuroWordNet,1
88,Eustite,1
89,SYN,1
90,PAXLST,1
91,HUPO Investigation,1
92,Adequest,1
93,Gibson,1
94,NRSur PHM,1
95,PVSio,1
96,Oxford,1
97,Proteus Discover,1
98,discmo,1
